Country,Cases,Deaths,Region,Date,latitude,longitude
United States,"13,920,038","274,332",North America,2020-12-01,37.09024,-95.712891
India,"9,463,254","137,659",Asia,2020-12-01,20.593684,78.96288
Brazil,"6,336,278","173,165",South America,2020-12-01,-14.235004,-51.92528
Russia,"2,322,056","40,464",Europe,2020-12-01,61.52401,105.31875600000001
France,"2,222,488","52,731",Europe,2020-12-01,46.227638,2.213749
Spain,"1,664,945","45,069",Europe,2020-12-01,40.463667,-3.7492199999999998
United Kingdom,"1,629,657","58,448",Europe,2020-12-01,55.378051,-3.435973
Italy,"1,601,554","55,576",Europe,2020-12-01,41.87194,12.56738
Argentina,"1,424,533","38,730",South America,2020-12-01,-38.416097,-63.616671999999994
Colombia,"1,316,806","36,766",South America,2020-12-01,4.570868,-74.297333
Mexico,"1,113,543","105,940",North America,2020-12-01,23.634501,-102.552784
Germany,"1,069,763","16,862",Europe,2020-12-01,51.165690999999995,10.451526
Poland,"999,924","17,599",Europe,2020-12-01,51.919438,19.145135999999997
Iran,"975,951","48,628",Asia,2020-12-01,32.427908,53.68804599999999
Peru,"963,605","35,966",South America,2020-12-01,-9.189967,-75.015152
South Africa,"790,004","21,535",Africa,2020-12-01,-30.559482,22.937506
Ukraine,"745,123","12,548",Europe,2020-12-01,48.379433,31.16558
Turkey,"638,847","13,746",Asia,2020-12-01,38.963745,35.243322
Belgium,"577,345","16,645",Europe,2020-12-01,50.503887,4.469936
Iraq,"552,549","12,258",Asia,2020-12-01,33.223191,43.679291
Chile,"551,743","15,410",South America,2020-12-01,-35.675146999999996,-71.542969
Indonesia,"543,975","17,081",Asia,2020-12-01,-0.789275,113.921327
Netherlands,"523,478","9,376",Europe,2020-12-01,52.132633,5.291266
Romania,"475,362","11,331",Europe,2020-12-01,45.943160999999996,24.96676
Bangladesh,"464,932","6,644",Asia,2020-12-01,23.684994,90.35633100000001
Philippines,"432,925","8,418",Asia,2020-12-01,12.879721,121.77401699999999
Pakistan,"400,482","8,091",Asia,2020-12-01,30.375321000000003,69.345116
Canada,"378,139","12,130",North America,2020-12-01,56.130366,-106.34677099999999
Saudi Arabia,"357,360","5,896",Asia,2020-12-01,23.885942,45.079162
Morocco,"356,336","5,846",Africa,2020-12-01,31.791702,-7.09262
Israel,"337,373","2,865",Asia,2020-12-01,31.046051000000002,34.851612
Switzerland,"327,072","4,851",Europe,2020-12-01,46.818188,8.227511999999999
Portugal,"298,061","4,505",Europe,2020-12-01,39.399871999999995,-8.224454
Austria,"282,456","3,184",Europe,2020-12-01,47.516231,14.550072
Sweden,"243,129","6,681",Europe,2020-12-01,60.128161,18.643501
Nepal,"233,452","1,508",Asia,2020-12-01,28.394857000000002,84.12400799999999
Hungary,"221,073","4,977",Europe,2020-12-01,47.162494,19.503304
Jordan,"219,430","2,751",Asia,2020-12-01,30.585164000000002,36.238414
Ecuador,"192,685","13,461",South America,2020-12-01,-1.8312389999999998,-78.183406
Serbia,"175,438","1,604",Europe,2020-12-01,44.016521000000004,21.005859
United Arab Emirates,"170,149",576,Asia,2020-12-01,23.424076,53.847818000000004
Panama,"165,806","3,079",North America,2020-12-01,8.537981,-80.782127
Bulgaria,"145,300","4,035",Europe,2020-12-01,42.733883,25.48583
Bolivia,"144,708","8,957",South America,2020-12-01,-16.290154,-63.588653
Dominican Republic,"143,988","2,331",North America,2020-12-01,18.735692999999998,-70.162651
Kuwait,"142,635",880,Asia,2020-12-01,29.311659999999996,47.481766
Costa Rica,"139,638","1,726",North America,2020-12-01,9.748917,-83.753428
Georgia,"139,343","1,303",Asia,2020-12-01,42.315407,43.356891999999995
Qatar,"139,001",238,Asia,2020-12-01,25.354826,51.183884
Belarus,"138,219","1,166",Europe,2020-12-01,53.709807,27.953389
Armenia,"135,967","2,193",Asia,2020-12-01,40.069099,45.038189
Kazakhstan,"132,348","1,990",Asia,2020-12-01,48.019573,66.923684
Croatia,"131,342","1,861",Europe,2020-12-01,45.1,15.2
Lebanon,"127,944","1,018",Asia,2020-12-01,33.854721000000005,35.862285
Azerbaijan,"125,602","1,433",Asia,2020-12-01,40.143105,47.576927000000005
Oman,"123,908","1,430",Asia,2020-12-01,21.512583,55.923255000000005
Guatemala,"122,062","4,171",North America,2020-12-01,15.783470999999999,-90.23075899999999
Egypt,"115,911","6,650",Africa,2020-12-01,26.820553000000004,30.802497999999996
Ethiopia,"110,074","1,706",Africa,2020-12-01,9.145,40.489672999999996
Honduras,"108,253","2,918",North America,2020-12-01,15.199998999999998,-86.241905
Moldova,"107,364","2,304",Europe,2020-12-01,47.411631,28.369884999999996
Slovakia,"107,183",868,Europe,2020-12-01,48.669026,19.699023999999998
Greece,"105,271","2,406",Europe,2020-12-01,39.074208,21.824312
Venezuela,"102,394",897,South America,2020-12-01,6.42375,-66.58973
Tunisia,"96,769","3,260",Africa,2020-12-01,33.886917,9.537499
Bosnia and Herzegovina,"87,901","2,681",Europe,2020-12-01,43.915886,17.679076000000002
Bahrain,"86,956",341,Asia,2020-12-01,25.930414000000003,50.637772
China,"86,542","4,634",Asia,2020-12-01,35.86166,104.195397
Kenya,"83,618","1,469",Africa,2020-12-01,-0.023559,37.906193
Libya,"83,417","1,196",Africa,2020-12-01,26.3351,17.228331
Algeria,"83,199","2,431",Africa,2020-12-01,28.033886,1.6596259999999998
Paraguay,"82,424","1,756",South America,2020-12-01,-23.442503,-58.44383199999999
Denmark,"80,481",837,Europe,2020-12-01,56.26392,9.501785
Slovenia,"77,106","1,490",Europe,2020-12-01,46.151241,14.995463
Kyrgyzstan,"73,178","1,275",Asia,2020-12-01,41.20438,74.766098
Uzbekistan,"73,094",610,Asia,2020-12-01,41.377491,64.585262
Ireland,"72,544","2,053",Europe,2020-12-01,53.41291,-8.243889999999999
Nigeria,"67,557","1,173",Africa,2020-12-01,9.081999,8.675277000000001
Malaysia,"67,169",363,Asia,2020-12-01,4.210483999999999,101.97576600000001
Lithuania,"62,515",519,Europe,2020-12-01,55.169438,23.881275
Singapore,"58,228",29,Asia,2020-12-01,1.352083,103.819836
Ghana,"51,667",323,Africa,2020-12-01,7.946527000000001,-1.0231940000000002
Afghanistan,"46,717","1,797",Asia,2020-12-01,33.93911,67.709953
El Salvador,"39,130","1,120",North America,2020-12-01,13.794185,-88.89653
Albania,"38,182",810,Europe,2020-12-01,41.153332,20.168331
Norway,"36,150",332,Europe,2020-12-01,60.472024,8.468946
Montenegro,"35,265",499,Europe,2020-12-01,42.708678000000006,19.37439
Luxembourg,"34,678",321,Europe,2020-12-01,49.815273,6.129583
South Korea,"34,652",526,Asia,2020-12-01,35.907757000000004,127.766922
Australia,"27,912",908,Australia/Oceania,2020-12-01,-25.274398,133.775136
Finland,"25,462",399,Europe,2020-12-01,61.92411,25.748151
Cameroon,"24,445",437,Africa,2020-12-01,7.369722,12.354722
Sri Lanka,"23,987",118,Asia,2020-12-01,7.873054,80.77179699999999
Côte d'Ivoire,"21,331",132,Africa,2020-12-01,7.539989,-5.54708
Uganda,"20,459",205,Africa,2020-12-01,1.373333,32.290275
Sudan,"17,810","1,249",Africa,2020-12-01,12.862807,30.217636
Zambia,"17,647",357,Africa,2020-12-01,-13.133897,27.849332
Madagascar,"17,341",251,Africa,2020-12-01,-18.766947000000002,46.869107
Latvia,"17,075",206,Europe,2020-12-01,56.879635,24.603189
Senegal,"16,107",333,Africa,2020-12-01,14.497401000000002,-14.452361999999999
Mozambique,"15,701",131,Africa,2020-12-01,-18.665695,35.529562
Angola,"15,139",348,Africa,2020-12-01,-11.202691999999999,17.873887
Namibia,"14,380",151,Africa,2020-12-01,-22.957639999999998,18.49041
French Polynesia,"14,372",75,Australia/Oceania,2020-12-01,-17.679742,-149.40684299999998
Guinea,"13,119",76,Africa,2020-12-01,9.945587,-9.696645
Maldives,"13,011",46,Asia,2020-12-01,3.202778,73.22068
Estonia,"12,497",121,Europe,2020-12-01,58.595271999999994,25.013607
Tajikistan,"12,194",86,Asia,2020-12-01,38.861034000000004,71.276093
French Guiana,"11,204",70,South America,2020-12-01,3.9338889999999997,-53.125781999999994
Jamaica,"10,763",257,North America,2020-12-01,18.109581,-77.297508
Botswana,"10,742",34,Africa,2020-12-01,-22.328474,24.684866
Cyprus,"10,565",49,Asia,2020-12-01,35.126413,33.429859
Zimbabwe,"10,034",277,Africa,2020-12-01,-19.015438,29.154857
Malta,"9,873",137,Europe,2020-12-01,35.937496,14.375416
Haiti,"9,294",233,North America,2020-12-01,18.971187,-72.28521500000001
Gabon,"9,214",60,Africa,2020-12-01,-0.803689,11.609444
Mauritania,"8,601",177,Africa,2020-12-01,21.00789,-10.940835
Guadeloupe,"8,344",149,North America,2020-12-01,16.995971,-62.067641
Cuba,"8,284",135,North America,2020-12-01,21.521757,-77.78116700000001
Réunion,"8,054",40,Africa,2020-12-01,-21.115141,55.536384
Syria,"7,887",417,Asia,2020-12-01,34.802075,38.996815000000005
Bahamas,"7,541",163,North America,2020-12-01,25.03428,-77.39628
Andorra,"6,745",76,Europe,2020-12-01,42.546245,1.6015540000000001
Trinidad and Tobago,"6,669",120,North America,2020-12-01,10.691803,-61.222503
Hong Kong,"6,397",109,Asia,2020-12-01,22.396428,114.10949699999999
Malawi,"6,028",185,Africa,2020-12-01,-13.254307999999998,34.301525
Rwanda,"5,934",49,Africa,2020-12-01,-1.940278,29.873888
Uruguay,"5,857",77,South America,2020-12-01,-32.522779,-55.765834999999996
Belize,"5,854",148,North America,2020-12-01,17.189877,-88.49765
Nicaragua,"5,784",160,North America,2020-12-01,12.865416,-85.207229
Djibouti,"5,679",61,Africa,2020-12-01,11.825138,42.590275
Martinique,"5,413",40,North America,2020-12-01,14.641528,-61.024174
Guyana,"5,406",151,South America,2020-12-01,4.860416000000001,-58.93018000000001
Iceland,"5,392",26,Europe,2020-12-01,64.96305100000001,-19.020835
Suriname,"5,312",117,South America,2020-12-01,3.9193050000000005,-56.02778299999999
Mayotte,"5,181",49,Africa,2020-12-01,-12.8275,45.166244
Equatorial Guinea,"5,153",85,Africa,2020-12-01,1.6508009999999997,10.267895
Central African Republic,"4,913",63,Africa,2020-12-01,6.611111,20.939444
Aruba,"4,845",45,North America,2020-12-01,12.52111,-69.968338
Mali,"4,710",156,Africa,2020-12-01,17.570692,-3.9961660000000006
Somalia,"4,451",113,Africa,2020-12-01,5.152149,46.199616
Thailand,"4,008",60,Asia,2020-12-01,15.870032,100.992541
Gambia,"3,742",123,Africa,2020-12-01,13.443182,-15.310139000000001
Benin,"3,015",43,Africa,2020-12-01,9.30769,2.315834
Togo,"2,974",64,Africa,2020-12-01,8.619543,0.824782
Burkina Faso,"2,886",68,Africa,2020-12-01,12.238333,-1.561593
Guinea-Bissau,"2,441",44,Africa,2020-12-01,11.803749,-15.180413
Sierra Leone,"2,412",74,Africa,2020-12-01,8.460555000000001,-11.779889
Yemen,"2,191",619,Asia,2020-12-01,15.552726999999999,48.516388
Lesotho,"2,109",44,Africa,2020-12-01,-29.609988,28.233608
New Zealand,"2,059",25,Australia/Oceania,2020-12-01,-40.900557,174.88597099999998
Chad,"1,688",101,Africa,2020-12-01,15.454166,18.732207
San Marino,"1,612",46,Europe,2020-12-01,43.94236,12.457777
Liberia,"1,595",83,Africa,2020-12-01,6.4280550000000005,-9.429499
Niger,"1,548",72,Africa,2020-12-01,17.607789,8.081666
Vietnam,"1,347",35,Asia,2020-12-01,14.058323999999999,108.277199
Liechtenstein,"1,270",16,Europe,2020-12-01,47.166000000000004,9.555373
Gibraltar,"1,020",5,Europe,2020-12-01,36.137741,-5.345374
Mongolia,801,0,Asia,2020-12-01,46.862496,103.84665600000001
Burundi,688,1,Africa,2020-12-01,-3.3730559999999996,29.918885999999997
Taiwan,679,7,Asia,2020-12-01,23.69781,120.96051499999999
Papua New Guinea,656,7,Australia/Oceania,2020-12-01,-6.314993,143.95555
Comoros,611,7,Africa,2020-12-01,-11.875001,43.872219
Monaco,609,3,Europe,2020-12-01,43.750298,7.412841
Eritrea,577,0,Africa,2020-12-01,15.179383999999999,39.782334000000006
Tanzania,509,21,Africa,2020-12-01,-6.369028,34.888822
Mauritius,504,10,Africa,2020-12-01,-20.348404000000002,57.552152
Bhutan,410,0,Asia,2020-12-01,27.514162,90.433601
Isle of Man,369,25,Europe,2020-12-01,54.236107,-4.548056
Cambodia,326,0,Asia,2020-12-01,12.565679,104.990963
Barbados,276,7,North America,2020-12-01,13.193887,-59.543198
Cayman Islands,274,2,North America,2020-12-01,19.513469,-80.566956
Bermuda,260,9,North America,2020-12-01,32.321384,-64.75737
Saint Lucia,259,2,North America,2020-12-01,13.909444,-60.97889300000001
Seychelles,183,0,Africa,2020-12-01,-4.679574,55.491977
Antigua and Barbuda,141,4,North America,2020-12-01,17.060816,-61.796428000000006
Dominica,85,0,North America,2020-12-01,15.414999,-61.370976
British Virgin Islands,71,1,North America,2020-12-01,18.420695000000002,-64.63996800000001
Fiji,42,2,Australia/Oceania,2020-12-01,-16.578193,179.414413
Grenada,41,0,North America,2020-12-01,12.262775999999999,-61.604170999999994
Laos,39,0,Asia,2020-12-01,19.856270000000002,102.495496
New Caledonia,33,0,Australia/Oceania,2020-12-01,-20.904304999999997,165.618042
Timor-Leste,30,0,Asia,2020-12-01,-8.874217,125.727539
Greenland,18,0,North America,2020-12-01,71.706936,-42.604303
Solomon Islands,17,0,Australia/Oceania,2020-12-01,-9.645710000000001,160.156194
Montserrat,13,1,North America,2020-12-01,16.742498,-62.187366000000004
Western Sahara,10,1,Africa,2020-12-01,24.215526999999998,-12.885834
Anguilla,6,0,North America,2020-12-01,18.220554,-63.068615
Marshall Islands,4,0,Australia/Oceania,2020-12-01,7.131474000000001,171.184478
Samoa,2,0,Australia/Oceania,2020-12-01,-13.759029,-172.10462900000002
Vanuatu,1,0,Australia/Oceania,2020-12-01,-15.376706,166.959158
